"url_list_link","url_list_selection1_name","url_list_selection1_url"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Zucchini Patties","https://www.allrecipes.com/recipe/13941/zucchini-patties/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Roasted Vegetables","https://www.allrecipes.com/recipe/9377/roasted-vegetables/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Homemade Mac and Cheese","https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Hummus III","https://www.allrecipes.com/recipe/14830/hummus-iii/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Spaghetti Squash I","https://www.allrecipes.com/recipe/13948/spaghetti-squash-i/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Delicious Black Bean Burritos","https://www.allrecipes.com/recipe/14041/delicious-black-bean-burritos/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Yellow Squash Casserole","https://www.allrecipes.com/recipe/18045/yellow-squash-casserole/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Best Marinara Sauce Yet","https://www.allrecipes.com/recipe/11966/best-marinara-sauce-yet/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Black Bean and Salsa Soup","https://www.allrecipes.com/recipe/14132/black-bean-and-salsa-soup/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Garlic Mashed Potatoes Secret Recipe","https://www.allrecipes.com/recipe/21391/garlic-mashed-potatoes-secret-recipe/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Honey Roasted Red Potatoes","https://www.allrecipes.com/recipe/18293/honey-roasted-red-potatoes/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","The Best Vegetarian Chili in the World","https://www.allrecipes.com/recipe/72508/the-best-vegetarian-chili-in-the-world/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Black Bean and Corn Quesadillas","https://www.allrecipes.com/recipe/104850/black-bean-and-corn-quesadillas/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Spanish Rice II","https://www.allrecipes.com/recipe/24329/spanish-rice-ii/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=2","Black Bean and Corn Salad II","https://www.allrecipes.com/recipe/13933/black-bean-and-corn-salad-ii/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Spinach and Strawberry Salad","https://www.allrecipes.com/recipe/16409/spinach-and-strawberry-salad/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Artichoke Spinach Lasagna","https://www.allrecipes.com/recipe/20082/artichoke-spinach-lasagna/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Pan-Fried Asparagus","https://www.allrecipes.com/recipe/18318/pan-fried-asparagus/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Oven Roasted Potatoes","https://www.allrecipes.com/recipe/20963/oven-roasted-potatoes/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Spicy Bean Salsa","https://www.allrecipes.com/recipe/14861/spicy-bean-salsa/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Vegetarian Korma","https://www.allrecipes.com/recipe/60598/vegetarian-korma/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Connie's Zucchini ""Crab"" Cakes","https://www.allrecipes.com/recipe/13938/connies-zucchini-crab-cakes/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Quick Yeast Rolls","https://www.allrecipes.com/recipe/13827/quick-yeast-rolls/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Sweet Potato Casserole II","https://www.allrecipes.com/recipe/18057/sweet-potato-casserole-ii/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Roasted Garlic Lemon Broccoli","https://www.allrecipes.com/recipe/144346/roasted-garlic-lemon-broccoli/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Kettle Corn","https://www.allrecipes.com/recipe/20808/kettle-corn/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Sean's Falafel and Cucumber Sauce","https://www.allrecipes.com/recipe/25309/seans-falafel-and-cucumber-sauce/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Winter Fruit Salad with Lemon Poppyseed Dressing","https://www.allrecipes.com/recipe/13482/winter-fruit-salad-with-lemon-poppyseed-dressing/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","German Apple Cake I","https://www.allrecipes.com/recipe/7915/german-apple-cake-i/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Vegetarian Chickpea Sandwich Filling","https://www.allrecipes.com/recipe/16715/vegetarian-chickpea-sandwich-filling/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Rich and Creamy Tomato Basil Soup","https://www.allrecipes.com/recipe/13113/rich-and-creamy-tomato-basil-soup/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Chocolate Chip Cheese Ball","https://www.allrecipes.com/recipe/26740/chocolate-chip-cheese-ball/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Easy Broccoli Quiche","https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Spinach Brownies","https://www.allrecipes.com/recipe/26972/spinach-brownies/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=3","Best Spinach Dip Ever","https://www.allrecipes.com/recipe/22617/best-spinach-dip-ever/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Garlic Red Potatoes","https://www.allrecipes.com/recipe/25272/garlic-red-potatoes/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Spicy Black Bean Vegetable Soup","https://www.allrecipes.com/recipe/12999/spicy-black-bean-vegetable-soup/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Spinach Enchiladas","https://www.allrecipes.com/recipe/59661/spinach-enchiladas/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Red Lentil Curry","https://www.allrecipes.com/recipe/16641/red-lentil-curry/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Healthy Banana Cookies","https://www.allrecipes.com/recipe/9615/healthy-banana-cookies/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Garlic Green Beans","https://www.allrecipes.com/recipe/18288/garlic-green-beans/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Suki's Spinach and Feta Pasta","https://www.allrecipes.com/recipe/19591/sukis-spinach-and-feta-pasta/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Stuffed Peppers My Way","https://www.allrecipes.com/recipe/21190/stuffed-peppers-my-way/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Tofu Parmigiana","https://www.allrecipes.com/recipe/13896/tofu-parmigiana/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Day Before Mashed Potatoes","https://www.allrecipes.com/recipe/18509/day-before-mashed-potatoes/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","California Grilled Veggie Sandwich","https://www.allrecipes.com/recipe/14504/california-grilled-veggie-sandwich/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Mouse's Macaroni and Cheese","https://www.allrecipes.com/recipe/11805/mouses-macaroni-and-cheese/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Zesty Quinoa Salad","https://www.allrecipes.com/recipe/229156/zesty-quinoa-salad/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Florentine Artichoke Dip","https://www.allrecipes.com/recipe/14930/florentine-artichoke-dip/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Black Beans and Rice","https://www.allrecipes.com/recipe/15559/black-beans-and-rice/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Strawberry Oatmeal Breakfast Smoothie","https://www.allrecipes.com/recipe/23539/strawberry-oatmeal-breakfast-smoothie/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday-cooking/vegetarian/?page=4","Apple Crisp III","https://www.allrecipes.com/recipe/23081/apple-crisp-iii/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
