,URL,amount,nutrient,recipe
17,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,204mcg,Folate,Fry Bread Tacos II
0,https://www.allrecipes.com/recipe/140829/pork-marsala/,27.6g,Total Fat,Pork Marsala
1,https://www.allrecipes.com/recipe/140829/pork-marsala/,9.0g,Saturated Fat,Pork Marsala
2,https://www.allrecipes.com/recipe/140829/pork-marsala/,61mg,Cholesterol,Pork Marsala
3,https://www.allrecipes.com/recipe/140829/pork-marsala/,356mg,Sodium,Pork Marsala
4,https://www.allrecipes.com/recipe/140829/pork-marsala/,442mg,Potassium,Pork Marsala
5,https://www.allrecipes.com/recipe/140829/pork-marsala/,18.3g,Total Carbohydrates,Pork Marsala
6,https://www.allrecipes.com/recipe/140829/pork-marsala/,0.8g,Dietary Fiber,Pork Marsala
7,https://www.allrecipes.com/recipe/140829/pork-marsala/,17.6g,Protein,Pork Marsala
8,https://www.allrecipes.com/recipe/140829/pork-marsala/,6g,Sugars,Pork Marsala
9,https://www.allrecipes.com/recipe/140829/pork-marsala/,282IU,Vitamin A,Pork Marsala
10,https://www.allrecipes.com/recipe/140829/pork-marsala/,1mg,Vitamin C,Pork Marsala
11,https://www.allrecipes.com/recipe/140829/pork-marsala/,26mg,Calcium,Pork Marsala
12,https://www.allrecipes.com/recipe/140829/pork-marsala/,1mg,Iron,Pork Marsala
13,https://www.allrecipes.com/recipe/140829/pork-marsala/,1mg,Thiamin,Pork Marsala
14,https://www.allrecipes.com/recipe/140829/pork-marsala/,8mg,Niacin,Pork Marsala
15,https://www.allrecipes.com/recipe/140829/pork-marsala/,0mg,Vitamin B6,Pork Marsala
16,https://www.allrecipes.com/recipe/140829/pork-marsala/,27mg,Magnesium,Pork Marsala
17,https://www.allrecipes.com/recipe/140829/pork-marsala/,30mcg,Folate,Pork Marsala
0,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,8.1g,Total Fat,Grilled Chicken with Rosemary and Bacon
1,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,3.0g,Saturated Fat,Grilled Chicken with Rosemary and Bacon
2,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,81mg,Cholesterol,Grilled Chicken with Rosemary and Bacon
3,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,348mg,Sodium,Grilled Chicken with Rosemary and Bacon
4,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,308mg,Potassium,Grilled Chicken with Rosemary and Bacon
5,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,2.3g,Total Carbohydrates,Grilled Chicken with Rosemary and Bacon
6,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,0.4g,Dietary Fiber,Grilled Chicken with Rosemary and Bacon
7,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,29.6g,Protein,Grilled Chicken with Rosemary and Bacon
8,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,1g,Sugars,Grilled Chicken with Rosemary and Bacon
9,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,42IU,Vitamin A,Grilled Chicken with Rosemary and Bacon
10,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,1mg,Vitamin C,Grilled Chicken with Rosemary and Bacon
11,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,18mg,Calcium,Grilled Chicken with Rosemary and Bacon
12,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,1mg,Iron,Grilled Chicken with Rosemary and Bacon
13,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,0mg,Thiamin,Grilled Chicken with Rosemary and Bacon
14,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,18mg,Niacin,Grilled Chicken with Rosemary and Bacon
15,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,1mg,Vitamin B6,Grilled Chicken with Rosemary and Bacon
16,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,29mg,Magnesium,Grilled Chicken with Rosemary and Bacon
17,https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/,4mcg,Folate,Grilled Chicken with Rosemary and Bacon
0,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,23.8g,Total Fat,Beefy Baked Ravioli
1,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,12.0g,Saturated Fat,Beefy Baked Ravioli
2,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,100mg,Cholesterol,Beefy Baked Ravioli
3,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,746mg,Sodium,Beefy Baked Ravioli
4,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,525mg,Potassium,Beefy Baked Ravioli
5,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,30.6g,Total Carbohydrates,Beefy Baked Ravioli
6,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,3.9g,Dietary Fiber,Beefy Baked Ravioli
7,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,30.5g,Protein,Beefy Baked Ravioli
8,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,9g,Sugars,Beefy Baked Ravioli
9,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,1269IU,Vitamin A,Beefy Baked Ravioli
10,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,6mg,Vitamin C,Beefy Baked Ravioli
11,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,421mg,Calcium,Beefy Baked Ravioli
12,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,5mg,Iron,Beefy Baked Ravioli
13,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,0mg,Thiamin,Beefy Baked Ravioli
14,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,11mg,Niacin,Beefy Baked Ravioli
15,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,0mg,Vitamin B6,Beefy Baked Ravioli
16,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,38mg,Magnesium,Beefy Baked Ravioli
17,https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/,22mcg,Folate,Beefy Baked Ravioli
0,https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta/,28.5g,Total Fat,Fresh Tomato Shrimp Pasta
1,https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta/,11.0g,Saturated Fat,Fresh Tomato Shrimp Pasta
2,https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta/,266mg,Cholesterol,Fresh Tomato Shrimp Pasta
3,https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta/,357mg,Sodium,Fresh Tomato Shrimp Pasta
4,https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta/,628mg,Potassium,Fresh Tomato Shrimp Pasta
5,https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta/,52.2g,Total Carbohydrates,Fresh Tomato Shrimp Pasta
6,https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta/,3.9g,Dietary Fiber,Fresh Tomato Shrimp Pasta
7,https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta/,43.8g,Protein,Fresh Tomato Shrimp Pasta
