,URL,amount,nutrient,recipe
2,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,0mg,Cholesterol,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
3,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,1476mg,Sodium,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
4,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,1656mg,Potassium,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
5,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,101.5g,Total Carbohydrates,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
6,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,25.8g,Dietary Fiber,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
7,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,31.3g,Protein,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
8,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,10g,Sugars,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
9,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,10496IU,Vitamin A,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
10,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,197mg,Vitamin C,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
11,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,167mg,Calcium,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
12,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,9mg,Iron,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
13,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,1mg,Thiamin,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
14,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,9mg,Niacin,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
15,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,1mg,Vitamin B6,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
16,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,239mg,Magnesium,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
17,https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/,450mcg,Folate,Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce
0,https://www.allrecipes.com/recipe/14231/guacamole/,22.2g,Total Fat,Guacamole
1,https://www.allrecipes.com/recipe/14231/guacamole/,3.0g,Saturated Fat,Guacamole
2,https://www.allrecipes.com/recipe/14231/guacamole/,0mg,Cholesterol,Guacamole
3,https://www.allrecipes.com/recipe/14231/guacamole/,596mg,Sodium,Guacamole
4,https://www.allrecipes.com/recipe/14231/guacamole/,866mg,Potassium,Guacamole
5,https://www.allrecipes.com/recipe/14231/guacamole/,18g,Total Carbohydrates,Guacamole
6,https://www.allrecipes.com/recipe/14231/guacamole/,11.4g,Dietary Fiber,Guacamole
7,https://www.allrecipes.com/recipe/14231/guacamole/,3.7g,Protein,Guacamole
8,https://www.allrecipes.com/recipe/14231/guacamole/,3g,Sugars,Guacamole
9,https://www.allrecipes.com/recipe/14231/guacamole/,653IU,Vitamin A,Guacamole
10,https://www.allrecipes.com/recipe/14231/guacamole/,26mg,Vitamin C,Guacamole
11,https://www.allrecipes.com/recipe/14231/guacamole/,34mg,Calcium,Guacamole
12,https://www.allrecipes.com/recipe/14231/guacamole/,1mg,Iron,Guacamole
13,https://www.allrecipes.com/recipe/14231/guacamole/,0mg,Thiamin,Guacamole
14,https://www.allrecipes.com/recipe/14231/guacamole/,4mg,Niacin,Guacamole
15,https://www.allrecipes.com/recipe/14231/guacamole/,0mg,Vitamin B6,Guacamole
16,https://www.allrecipes.com/recipe/14231/guacamole/,51mg,Magnesium,Guacamole
17,https://www.allrecipes.com/recipe/14231/guacamole/,133mcg,Folate,Guacamole
0,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,1.7g,Total Fat,Quinoa and Black Beans
1,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,0.0g,Saturated Fat,Quinoa and Black Beans
2,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,0mg,Cholesterol,Quinoa and Black Beans
3,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,517mg,Sodium,Quinoa and Black Beans
4,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,333mg,Potassium,Quinoa and Black Beans
5,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,27.8g,Total Carbohydrates,Quinoa and Black Beans
6,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,7.8g,Dietary Fiber,Quinoa and Black Beans
7,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,7.7g,Protein,Quinoa and Black Beans
8,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,2g,Sugars,Quinoa and Black Beans
9,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,362IU,Vitamin A,Quinoa and Black Beans
10,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,5mg,Vitamin C,Quinoa and Black Beans
11,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,41mg,Calcium,Quinoa and Black Beans
12,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,2mg,Iron,Quinoa and Black Beans
13,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,0mg,Thiamin,Quinoa and Black Beans
14,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,2mg,Niacin,Quinoa and Black Beans
15,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,0mg,Vitamin B6,Quinoa and Black Beans
16,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,35mg,Magnesium,Quinoa and Black Beans
17,https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/,61mcg,Folate,Quinoa and Black Beans
0,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,57.1g,Total Fat,Quick and Easy Alfredo Sauce
1,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,36.0g,Saturated Fat,Quick and Easy Alfredo Sauce
2,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,170mg,Cholesterol,Quick and Easy Alfredo Sauce
3,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,1030mg,Sodium,Quick and Easy Alfredo Sauce
4,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,326mg,Potassium,Quick and Easy Alfredo Sauce
5,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,10g,Total Carbohydrates,Quick and Easy Alfredo Sauce
6,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,0.2g,Dietary Fiber,Quick and Easy Alfredo Sauce
7,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,25.1g,Protein,Quick and Easy Alfredo Sauce
8,https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/,7g,Sugars,Quick and Easy Alfredo Sauce
